"cutoff","TumorSizeGroup","N","Metastasis_n","Crude_rate","Standardized_rate"
7.7,"Large",541,307,0.567467652495379,0.56347630209787
7.8,"Small",12731,7464,0.586285444976828,0.588639906862186
7.8,"Large",534,305,0.571161048689139,0.565614037754715
7.9,"Small",12731,7464,0.586285444976828,0.588639906862186
7.9,"Large",534,305,0.571161048689139,0.565614037754715
8,"Small",12731,7464,0.586285444976828,0.588639906862186
8,"Large",534,305,0.571161048689139,0.565614037754715
8.1,"Small",12959,7605,0.586850837255961,0.588145874072888
8.1,"Large",306,164,0.535947712418301,0.513647710977015
8.2,"Small",12959,7605,0.586850837255961,0.588145874072888
8.2,"Large",306,164,0.535947712418301,0.513647710977015
8.3,"Small",12960,7606,0.586882716049383,0.588176379104806
8.3,"Large",305,163,0.534426229508197,0.512921177876203
8.4,"Small",12961,7606,0.586837435383072,0.58811773673331
8.4,"Large",304,163,0.536184210526316,0.513553437837495
8.5,"Small",12961,7606,0.586837435383072,0.58811773673331
8.5,"Large",304,163,0.536184210526316,0.513553437837495
8.6,"Small",13005,7630,0.586697424067666,0.587798825197868
8.6,"Large",260,139,0.534615384615385,0.484352261634584
8.7,"Small",13005,7630,0.586697424067666,0.587798825197868
8.7,"Large",260,139,0.534615384615385,0.484352261634584
8.8,"Small",13007,7631,0.586684093180595,0.587778887934349
8.8,"Large",258,138,0.534883720930233,0.4853341205264
8.9,"Small",13009,7631,0.586593896533169,0.587670862921116
8.9,"Large",256,138,0.5390625,0.486751076775342
9,"Small",13010,7632,0.58662567255957,0.587685154651129
9,"Large",255,137,0.537254901960784,0.486493529825163
9.1,"Small",13131,7702,0.586550910060163,0.587188781560415
9.1,"Large",134,67,0.5,0.451250875020193
9.2,"Small",13131,7702,0.586550910060163,0.587188781560415
9.2,"Large",134,67,0.5,0.451250875020193
9.3,"Small",13131,7702,0.586550910060163,0.587188781560415
9.3,"Large",134,67,0.5,0.451250875020193
9.4,"Small",13134,7703,0.586493071417695,0.587083228407706
9.4,"Large",131,66,0.50381679389313,0.445958254155053
9.5,"Small",13134,7703,0.586493071417695,0.587083228407706
9.5,"Large",131,66,0.50381679389313,0.445958254155053
9.6,"Small",13156,7714,0.586348434174521,0.586778029367439
9.6,"Large",109,55,0.504587155963303,0.423383225333899
9.7,"Small",13157,7715,0.586379873831421,0.586789570465377
9.7,"Large",108,54,0.5,0.418652558648789
9.8,"Small",13157,7715,0.586379873831421,0.586789570465377
9.8,"Large",108,54,0.5,0.418652558648789
9.9,"Small",13160,7716,0.586322188449848,0.586710299258598
9.9,"Large",105,53,0.504761904761905,0.459968589018721
10,"Small",13160,7716,0.586322188449848,0.586710299258598
10,"Large",105,53,0.504761904761905,0.459968589018721
